番号,店名,町名,住所,au PAY,d払い,PayPay,楽天ペイ,ジャンル
986,酒の穴,銀座,中央区銀座３－５－８,,,●,,グルメ
987,銀座らん月,銀座,中央区銀座３－５－８　２Ｆ,,,●,,グルメ
988,リビスコ銀座店,銀座,中央区銀座３－７－１２王子サ－モン２Ｆ,,,●,,グルメ
989,サッポロライオン長万部町酒場　銀座店,銀座,中央区銀座３－７－１２王子不動産銀座ビルＢ１Ｆ,,●,,●,グルメ
990,ラ・カンティーナ,銀座,中央区銀座３-７-１３成田やビルＢ１Ｆ,●,,,●,美容院・サロン
991,銀座　足壺健香庵銀座本店,銀座,中央区銀座３－７－１３成田屋ビル４Ｆ,,,●,●,美容院・サロン
992,GIRONDE銀座店,銀座,中央区銀座３－７－１３成田屋ビル４Ｆ,,,●,,グルメ
993,Bro  Tokyo,銀座,中央区銀座３－７－１３成田屋ビルＢ１,,,●,,美容院・サロン
994,東京銀座ＢＺ　銀座本店,銀座,中央区銀座３－７－１３成田屋ビルＢ１Ｆ,,,,●,美容院・サロン
995,ＧＩＮＺＡ　ＹＡＯＪＩＮ,銀座,中央区銀座３－７－１６ＮＳビル１Ｆ,,●,●,●,ショッピング
996,FILMORMALE,銀座,中央区銀座３－７－１６ＮＳビル６Ｆ,,,●,,美容院・サロン
997,ギャラリーアートもりもと,銀座,中央区銀座３－７－２０銀座日本料理会館２Ｆ,,●,●,,ショッピング
998,銀座　紫野,銀座,中央区銀座３－７－２０銀座日本料理会館Ｂ１Ｆ,,,,●,グルメ
999,キットカットショコラトリー銀座本店,銀座,中央区銀座３－７－２オ－ク銀座１Ｆ,,●,●,,ショッピング
1000,キットカットショコラトリーカフェ,銀座,中央区銀座３－７－２オ－ク銀座２Ｆ,,●,●,,グルメ
1001,オーク銀座歯科クリニック,銀座,中央区銀座３－７－２オ－ク銀座３Ｆ,,,●,,病院・クリニック
1002,BELINDA銀座店,銀座,中央区銀座３－７－２オ－ク銀座ビル８Ｆ,,,●,,美容院・サロン
1003,でーびる沖縄,銀座,中央区銀座３－８－１０アサヒビルＢ１,,●,●,,グルメ
1004,イケメン製作所銀座本店,銀座,中央区銀座３－８−１０銀座朝日ビル４Ｆ,,,●,,美容院・サロン
1005,ココーレデュオ,銀座,中央区銀座３－８－１０銀座朝日ビル７Ｆ,,,,●,ショッピング
1006,スリープクリニック銀座,銀座,中央区銀座３－８－１０銀座朝日ビル８Ｆ,,,●,,病院・クリニック
1007,スペースビジョン,銀座,中央区銀座３－８－１２銀座ヤマトビル７Ｆ,,,●,,その他
1008,株式会社タベルコーポレーション,銀座,中央区銀座３－８－１３　Ｂ１Ｆ,,●,,●,グルメ
1009,AMARE銀座店,銀座,中央区銀座３－８－１５ＡＰＡ銀座中央ビル４Ｆ,●,●,●,●,美容院・サロン
1010,LaMina銀座店,銀座,中央区銀座３－８－１５ＡＰＡ銀座中央ビル５Ｆ－Ａ,,,●,,美容院・サロン
1011,コラボレーションスタイル,銀座,中央区銀座３-８-１５アパ銀座中央ビル４Ｆ,●,,,●,ファッション
1012,Ｓａｌｏｎ　Ｌｅｎａ　銀座本店,銀座,中央区銀座３－８－１５アパ銀座中央ビル５－Ｂ,,●,,,病院・クリニック
1013,Vanity Crash!,銀座,中央区銀座３－８－１７,,,●,,ショッピング
1014,ｅｄｕ．銀座店,銀座,中央区銀座３－８－１７銀座理容会館５階,,,,●,美容院・サロン
1015,ii+Uアイユー,銀座,中央区銀座３－８－１銀座ＮＭビル２Ｆ,,,●,,美容院・サロン
1016,SARA EMILY 銀座,銀座,中央区銀座３－８－５銀商ビル４Ｆ,,,●,,美容院・サロン
1017,S．　brow　salon,銀座,中央区銀座３－８－５銀商ビル８Ｆ,●,,●,●,美容院・サロン
1018,銀座羊屋はなれ,銀座,中央区銀座３－８－８太郎坊ビル１Ｆ,●,,●,●,グルメ
1019,むげんだい銀座店,銀座,中央区銀座３-９-１,●,,,●,ショッピング
1020,銀座みもざ館 カフェ&バー 328,銀座,中央区銀座３－９－１１紙パルプ会館１Ｆ,,,●,,グルメ
1021,個室会席 北大路個室焼肉　銀座きたお,銀座,中央区銀座３－９－１１紙パルプ会館Ｂ１Ｆ,●,,●,●,グルメ
1022,長寿韓酒房銀座店,銀座,中央区銀座３－９－１１紙パルプ会館Ｂ１Ｆ,,●,,,グルメ
1023,MAILE GINZA,銀座,中央区銀座３－９－１８,,,●,,美容院・サロン
1024,ル・ヴァン・エ・ラ・ヴィアンド,銀座,中央区銀座３－９－１８東銀座ビル１Ｆ,,,●,,グルメ
1025,アンベリールギンザ,銀座,中央区銀座３－９－１８東銀座ビル５０４,,,●,,その他
1026,エールホーム,銀座,中央区銀座３－９－１８東銀座ビル６Ｆ,●,●,●,,その他
1027,銀座吉澤　精肉銀座本店,銀座,中央区銀座３－９－１９吉澤ビル,,,●,,ショッピング
1028,REVIAS銀座店,銀座,中央区銀座３－９－５伊勢半ビル５０１,●,,●,,エンタメ
1029,マミーサロン,銀座,中央区銀座３-９-５伊勢半ビル６Ｆ,●,,,●,ショッピング
1030,マリアアマリア,銀座,中央区銀座３－９－６ＶＯＲＴ銀座ｍａｘｉｍ１Ｆ,,,●,,ショッピング
1031,ＩＭＰＥＲＩＯ　ＡＲＩＳＡＷＡ,銀座,中央区銀座３－９－６ＶＯＲＴ銀座ＭＡＸＩＭ５Ｆ,,●,,,ショッピング
1032,ＵＲＡＲＡ,銀座,中央区銀座３-９-６ＶＯＲＴ銀座ＭＡＸＩＭＢ１Ｆ,●,,,●,美容院・サロン
1033,寿司割烹 鷹勝銀座別亭,銀座,中央区銀座３－９－６ＶＯＲＴ銀座ｍａｘｉｍビル９Ｆ,,,●,,グルメ
1034,cococherin銀座店,銀座,中央区銀座３－９－６ＶＯＲＴ銀座ｍａｘｉｍビルＢ１Ｆ　ｒｏｏｍ８,,,●,,美容院・サロン
1035,ｃｏｍｍｕ,銀座,中央区銀座３-９-６ＶＯＲＴ銀座ＭＡＸＩＭビル地下１ＦＳＡＬＯＮＶＩＬＬＡＧＥＤＵＥ．,,,,●,美容院・サロン
1036,ＪＹＵＮＥＳＵ銀座,銀座,中央区銀座３－９－６マトリックスビル１０Ｆ,,,,●,美容院・サロン
1037,Ｈａｉｒｓ　ｇｒｏｏｖｅ,銀座,中央区銀座４‐１０‐１　ＡＺＡ銀座７Ｆ,,●,,●,美容院・サロン
1038,俺の焼肉銀座4丁目,銀座,中央区銀座４－１０－１０銀座山王ビルＢ１Ｆ,●,●,●,●,グルメ
1039,B-united Ginza,銀座,中央区銀座４－１０－１２アソルティ銀座２Ｆ,●,,●,●,美容院・サロン
1040,リラクゼーション聖美,銀座,中央区銀座４－１０－１２アソルティ銀座３Ｆ,,,●,,美容院・サロン
1041,銀座 輝き堂 薬舗,銀座,中央区銀座４－１０－１２アソルティ－銀座４Ｆ,●,●,●,●,ドラッグストア・薬局
1042,タイムリッチ銀座,銀座,中央区銀座４－１０－１４ＡＣＮ銀座４ビルディング１１Ｆ,,,●,,その他
1043,LIBERTY SHARE BARBERGINZA,銀座,中央区銀座４－１０－１４ＡＣＮ銀座４ビルディング７Ｆ,,,●,,美容院・サロン
1044,ポリシー化粧品,銀座,中央区銀座４－１０－１６－４Ｆ,,,,●,ショッピング
1045,スコッチグレイン銀座本店,銀座,中央区銀座４－１０－１６シグマ銀座ファ－スト１Ｆ,,,●,,ショッピング
1046,びふてき松江,銀座,中央区銀座４－１０－１ＡＺＡビル６Ｆ,,,,●,グルメ
1047,銀座 緑花堂,銀座,中央区銀座４－１０－１ＨＯＬＯＮ－ＧＩＮＺＡ１Ｆ,●,●,●,●,ショッピング
1048,誠心堂 漢方館 銀座店,銀座,中央区銀座４－１０－１銀座ＡＺＡビル１Ｆ・Ｂ１,,●,●,,病院・クリニック
1049,ＬＥＢＯＮＺＥ,銀座,中央区銀座４-１０-１銀座ＡＺＡビル３Ｆ,●,,,●,グルメ
1050,銀座・にわ歯科室,銀座,中央区銀座４-１０-１銀座ＡＺＡビル４Ｆ,●,,,●,病院・クリニック
1051,afuune,銀座,中央区銀座４－１０－３セントラルビルＢ１Ｆ,,,●,,グルメ
1052,CafeDeli銀座ソレイユ,銀座,中央区銀座４－１０－３セントラルビルＢ１Ｆ,●,●,,●,グルメ
1053,観音山フルーツパーラー　銀座店,銀座,中央区銀座４－１０－５東急ステイ銀座１Ｆ,●,,●,●,グルメ
1054,水素浴サロン銀座4丁目プレミアム店,銀座,中央区銀座４－１０－６Ｇ４ビル７Ｆ,,,●,,美容院・サロン
1055,こびきちょう魁,銀座,中央区銀座４-１０-６Ｇ４ビルＢ１,●,,,●,グルメ
1056,ナイルレストラン,銀座,中央区銀座４－１０－７,,,●,●,グルメ
1057,viviONLY ONE,銀座,中央区銀座４－１０－７早川ビル３Ｆ,●,,●,,病院・クリニック
1058,陳鍼灸整骨院,銀座,中央区銀座４－１１－２栄ビル４Ｆ,●,,●,●,病院・クリニック
1059,Ａｒｔ　Ｇａｌｌｅｒｙ　Ｍ８４,銀座,中央区銀座４－１１－３ウインド銀座ビル５Ｆ,,,,●,その他
1060,銀座常世ｔｏｃｏｙｏ倶楽部,銀座,中央区銀座４－１１－６島倉ビル２Ｆ,,,,●,病院・クリニック
1061,瀬賀カイロプラクティックセンター銀座店,銀座,中央区銀座４－１１－７第二上原ビル２Ｆ,,,●,,美容院・サロン
1062,AIN SOPH. GINZA銀座,銀座,中央区銀座４－１２－１,●,,●,●,グルメ
1063,三井ナチュラルガーデン歌舞伎座マルシェ,銀座,中央区銀座４－１２－１５,,,●,,ショッピング
1064,アルティファータ,銀座,中央区銀座４－１２－１５歌舞伎座タワ－,,,,●,美容院・サロン
1065,丸山海苔店(寿月堂 銀座 歌舞伎座店),銀座,中央区銀座４－１２－１５歌舞伎座タワ－５Ｆ,,,●,,ショッピング
1066,ローレンロス・ジャパン,銀座,中央区銀座４-１２-１５歌舞伎座タワ-７Ｆ,●,,,●,ショッピング
1067,grandir,銀座,中央区銀座４－１２－１７石川ビル７Ｆ,,,●,,エンタメ
1068,銀座　樹蔭,銀座,中央区銀座４－１２－１ＧＩＮＺＡ１２　Ｂ１Ｆ,,●,,,グルメ
1069,９ＧＡＴＥＳＬＯＵＮＧＥ,銀座,中央区銀座４-１２-１ＧＩＮＺＡ１２-９Ｆ,●,,,●,グルメ
1070,ＳＩＲＩＮ　ＬＡＢＳ銀座店,銀座,中央区銀座４－１２－１ＶＯＲＴ銀座イ－スト２　１Ｆ,,,,●,その他
1071,鮨　弁慶　海　銀座店,銀座,中央区銀座４－１２－１ＶＯＲＴ銀座イ－スト２　５Ｆ,●,●,,,グルメ
1072,銀座鮨一颯,銀座,中央区銀座４-１２-１ＶＯＲＴ銀座イ-スト２Ｂ１Ｆ,●,,,●,グルメ
1073,銀座和郷,銀座,中央区銀座４－１２－１ＶＯＲＴ銀座イ－ストＩＩ１０Ｆ,●,,●,●,グルメ
1074,AIN SOPH. Journeyアインソフ銀座,銀座,中央区銀座４－１２－１とりやまビル,,,●,,グルメ
1075,スモールワンダーランド,銀座,中央区銀座４－１２－２,●,,●,●,グルメ
1076,カメラの三和銀座店,銀座,中央区銀座４－１３－１,●,●,●,●,その他
1077,蜂の家　銀座本店,銀座,中央区銀座４－１３－１１,,,●,,グルメ
1078,越後屋　八十吉,銀座,中央区銀座４－１３－１１,,●,●,●,グルメ
1079,ブンメイドウカフェギンザヒガシギンザテン,銀座,中央区銀座４－１３－１１　２F,,,●,,グルメ
1080,ハルゴルフクリニック銀座スタジオ,銀座,中央区銀座４－１３－１１Ｍ＆ＳビルＢ２Ｆ,●,,●,●,その他
1081,博多 なぎの木 銀座店,銀座,中央区銀座４－１３－１１銀座Ｍ＆ＳビルＢ１Ｆ,●,,●,●,グルメ
1082,Nail Salon DANAE 銀座,銀座,中央区銀座４－１３－１１松竹倶楽部ビル９Ｆ,,,●,,美容院・サロン
1083,Flor de Cafe 樹の花,銀座,中央区銀座４－１３－１２Ｆ,,,●,,グルメ
1084,茜屋珈琲店,銀座,中央区銀座４－１３－１５,●,●,,●,グルメ
1085,鮨　學銀座店,銀座,中央区銀座４－１３－１５－Ｂ１,●,●,●,●,グルメ
1086,銀座　ル・コチア,銀座,中央区銀座４－１３－１５近富ビル３Ｆ,,,,●,グルメ
1087,かきしゃぶ屋,銀座,中央区銀座４－１３－１５成和銀座ビルＢ１Ｆ,●,,,●,グルメ
1088,メモリー21,銀座,中央区銀座４－１３－１７山王第一ビル１Ｆ,,,●,,ショッピング
1089,えすぱすミラボオ,銀座,中央区銀座４－１３－１８医療ビル２Ｆ,,,,●,その他
1090,銀座接骨院HANAHANA,銀座,中央区銀座４－１３－１８医療ビル５Ｆ,,,●,,病院・クリニック
1091,クイーンズネイル銀座,銀座,中央区銀座４－１３－１８医療ビル６Ｆ,,●,,,美容院・サロン
1092,ビストロ・ヴィヴィエンヌ,銀座,中央区銀座４－１３－１９銀林ビル１Ｆ,●,●,●,●,グルメ
1093,居酒屋わのわ,銀座,中央区銀座４－１３－１９銀林ビル２Ｆ,●,●,●,●,グルメ
1094,カンティーナ　シチリアーナ　トゥット　イルマーレ　銀座4丁目,銀座,中央区銀座４－１３－３,,,●,,グルメ
1095,平成オペラ座,銀座,中央区銀座４－１３－３ＡＣＮ東銀座ビル１Ｆ,●,,●,●,ショッピング
1096,nailsalon LUXE銀座店,銀座,中央区銀座４－１３－３ＡＣＮ東銀座ビル８Ｆ,,,●,,美容院・サロン
1097,マグロ卸のマグロ丼とラーメンの店銀座店,銀座,中央区銀座４－１３－３渡辺ビル１Ｆ,,,●,,グルメ
1098,宮小鶏,銀座,中央区銀座４－１３－３渡辺ビル１Ｆ,,,●,,グルメ
1099,たつみ清酒堂東京店,銀座,中央区銀座４－１３－５,●,●,●,,ショッピング
1100,studio moment,銀座,中央区銀座４－１３－５日本経済研究所ビル２Ｆ,,,●,,その他
1101,LA・VAGUES,銀座,中央区銀座４－１３−８,,,●,,ショッピング
1102,maninail銀座店,銀座,中央区銀座４－１３－８－２０４,●,,●,●,美容院・サロン
1103,カラーキャッチ銀座,銀座,中央区銀座４－１３－８ソフィアスクエア銀座３０１,,,,●,美容院・サロン
1104,ＳＪＮＡＩＬＳ,銀座,中央区銀座４-１３-８ソフィアスクエア銀座３０４-,●,,,●,美容院・サロン
1105,GINZA CERISIER,銀座,中央区銀座４－１３－８ソフィアスクエア銀座６０１,,,●,,美容院・サロン
1106,SHARELY CODE,銀座,中央区銀座４－１３－８ソフィアスクエア銀座７０１,,,●,,その他
1107,ＬＩＡＲＴMICO Eyelash&Nail,銀座,中央区銀座４－１３－８ソフィアスクエア銀座８０３,●,,●,,美容院・サロン
1108,銀座 松崎煎餅本店,銀座,中央区銀座４－１３－８岩藤ビル１Ｆ,,,●,,ショッピング
1109,銀座 紗古夢堂,銀座,中央区銀座４－１４－１,,,●,,ショッピング
1110,サニースタイル,銀座,中央区銀座４－１４－１５サントル銀座５０３,,,,●,美容院・サロン
1111,BCB東京本社,銀座,中央区銀座４－１４－１５サントル銀座５０４,,,●,,ショッピング
1112,心理カウンセラー吉田亮介,銀座,中央区銀座４－１４－１５サントル銀座９０２室,,,●,,その他
1113,五合庵多吉,銀座,中央区銀座４-１４-１７,,,,●,グルメ
1114,hair salon CUFFA,銀座,中央区銀座４－１４－１７東銀座ワタナベビル２Ｆ,,,●,,美容院・サロン
1115,OSAKAきっちん　銀座本店,銀座,中央区銀座４－１４－１９グレ－ト２Ｆ,,,●,,グルメ
1116,占い優占銀座店,銀座,中央区銀座４－１４－１９小笠原ビル２Ｆ,,,●,,その他
1117,銀座ふはり鍼灸院,銀座,中央区銀座４－１４－１９第２カタヤマビル４Ｆ,,,●,●,病院・クリニック
1118,銀座巻寿司屋　割烹菊水,銀座,中央区銀座４－１４－１Ｘｅｄ銀座ビル２Ｆ,,,●,,ショッピング
1119,PETIT CUSTA銀座本店,銀座,中央区銀座４－１４－２,●,,●,,ショッピング
1120,ほぐし屋らーく銀座1号店,銀座,中央区銀座４－１４－２三宝ビル２Ｆ,,,●,,美容院・サロン
1121,男の着物　たけもと,銀座,中央区銀座４－１４－２三宝ビル３Ｆ,,,●,,ショッピング
1122,BigBang 隕石直売所銀座店,銀座,中央区銀座４－１４－３銀座斎藤ビル２Ｆ,●,●,●,,ショッピング
1123,Natural SpaAloha Smile,銀座,中央区銀座４－１４－４,,,●,,美容院・サロン
1124,グラン・イーノ銀座4丁目店,銀座,中央区銀座４－１４－４,,,●,,美容院・サロン
1125,アンジェリキュア,銀座,中央区銀座４－１４－４ファミ－ルグラン銀座４丁目オーセンティア１３０６,,,,●,美容院・サロン
1126,アイアイアドカンパニー銀座本店,銀座,中央区銀座４－１４－４ファミ－ルグラン銀座４丁目オーセンティア１Ｆ,●,●,●,,ショッピング
1127,Asalon,銀座,中央区銀座４－１４－４ファミ－ルグラン銀座４丁目オーセンティア３０３,,,●,,美容院・サロン
1128,インフィニティー,銀座,中央区銀座４－１４－４ファミ－ルグラン銀座４丁目オーセンティア７０１室,,,●,,その他
1129,銀座アトリエ,銀座,中央区銀座４－１４－４ファミ－ルグラン銀座４丁目オーセンティア７０８,,,●,,美容院・サロン
1130,ＡＳＡＬＯＮ,銀座,中央区銀座４-１４-４ファミ-ルグラン銀座四-オ-センティア３０３,●,,,●,美容院・サロン
1131,トレトレストア,銀座,中央区銀座４－１４－６,●,,,●,ファッション
1132,築地青木,銀座,中央区銀座４－１４－６,,,,●,ショッピング
1133,サロンホシ,銀座,中央区銀座４－１４－６・平田ビル２Ｆ,●,,,●,美容院・サロン
1134,ファイテンショップ銀座店,銀座,中央区銀座４－１４－６ウィンド銀座８ビル１Ｆ,,,●,,ショッピング
1135,銀座　萌黄亭,銀座,中央区銀座４－１４－６ウィンド銀座８ビル３Ｆ,,,●,●,ショッピング
1136,ナチュレルフィンコンフォート銀座,銀座,中央区銀座４－１４－６平田ビル１Ｆ,,,●,,ショッピング
1137,ecru,銀座,中央区銀座４－１４－７－７０２,,,●,,ショッピング
1138,ローリーロドキン銀座店,銀座,中央区銀座４－１４－７ファミ－ルグラン銀座１Ｆ,,,●,,ショッピング
1139,まゆ月,銀座,中央区銀座４－１４－７ファミ－ルグラン銀座４丁目１３０２,,,●,,ショッピング
1140,BARBIER YAMAMOTO,銀座,中央区銀座４－１西銀座Ｂ１,,,●,,美容院・サロン
1141,銀座炎蔵西銀座,銀座,中央区銀座４－１西銀座デパ－ト２Ｆ,,,●,,グルメ
1142,雛鮨西銀座,銀座,中央区銀座４－１西銀座デパ－ト２Ｆ,,,●,,グルメ
1143,ANNEBRA西銀座店,銀座,中央区銀座４－１西銀座デパ－トＢ２,,,●,,ショッピング
1144,ネイル＆アイラッシュ ビー銀座店,銀座,中央区銀座４－１西銀座デパ－トＢ２,,,●,●,美容院・サロン
1145,アークアスリートTRAINER's（西銀座店）,銀座,中央区銀座４－１西銀座デパ－トＢ２Ｆ,,,●,,エンタメ
1146,じぶんdeエステ西銀座デパート店,銀座,中央区銀座４－１西銀座デパ－ト店Ｂ２Ｆ,,,●,,美容院・サロン
1147,ペブリー西銀座,銀座,中央区銀座４－１先１Ｆ,,,●,,ショッピング
1148,銀座有楽町内科,銀座,中央区銀座４－１－先北数寄屋ビルＢ１Ｆ,,,●,●,病院・クリニック
1149,ALBUM GINZA,銀座,中央区銀座４－２－１７銀座１１１レジャ－ビル１１Ｆ,,,●,,美容院・サロン
1150,レカルカクリニカルサロン,銀座,中央区銀座４－２－１７銀座１１１レジャ－ビル１２Ｆ,,,●,,ドラッグストア・薬局
1151,アイケアクリニック銀座院,銀座,中央区銀座４－２－１銀座教会堂ビル７Ｆ,,●,,,病院・クリニック
1152,湘南デンタルケアー銀座サテライトオフィス,銀座,中央区銀座４－２－２０,,,●,,病院・クリニック
1153,あしやせ本舗銀座店,銀座,中央区銀座４－２－７フェニックス東銀座４０７,,,●,,美容院・サロン
1154,ｒｅ：Ｄｉｎｅ　ＧＩＮＺＡ,銀座,中央区銀座４－３－１,●,,,●,グルメ
1155,Paul Smith銀座店,銀座,中央区銀座４－３－１０銀座中央ビルＢ１Ｆ－２Ｆ,●,,●,,ショッピング
1156,台湾式リラクサロン　楽来(ラクライ)   銀座四丁目,銀座,中央区銀座４－３－１２伊藤ビル５Ｆ,●,,●,,その他
1157,銀座シェービング並木通り店,銀座,中央区銀座４－３－１２伊藤ビルＢ１Ｆ,●,●,●,,美容院・サロン
1158,COIFFEUR NOVOU,銀座,中央区銀座４－３－１２銀座伊藤ビル３Ｆ,,,●,,美容院・サロン
1159,こじま花店,銀座,中央区銀座４－３－１４,●,●,●,,ショッピング
1160,RounGe Nail&Eyelash銀座有楽町店,銀座,中央区銀座４－３－２銀座白亜ビル５Ｆ,,,●,,美容院・サロン
1161,Belle Miranda 銀座(ベルミランダ ギンザ),銀座,中央区銀座４－３－２銀座槁ビル７Ｆ,,,●,,美容院・サロン
1162,ペコラ銀座,銀座,中央区銀座４－３－２清水ビル３Ｆ,,,●,●,ショッピング
1163,花やの前の美容室　銀座,銀座,中央区銀座４－３－２清水ビル６Ｆ,,●,,,美容院・サロン
1164,すし処　銀座きたむら,銀座,中央区銀座４－３－２槁ビルＢ１,,,,●,グルメ
1165,ヴァンピックル銀座店,銀座,中央区銀座４－３－４銀座屋酒店ビル２Ｆ,,,●,,グルメ
1166,板前バルBAR ORIGIN 銀座店,銀座,中央区銀座４－３－５ハトリビル２Ｆ,,,●,,グルメ
1167,ＰｌｏｏｍＳｈｏｐ銀座,銀座,中央区銀座４－３－５銀座ＡＨビル１Ｆ,,,,●,ショッピング
1168,Ｇｏｕｔ　ｄ’ｏｒ,銀座,中央区銀座４－３－５銀座ハトリビル３Ｆ,,●,●,●,グルメ
1169,ダイヤモンドアイズ銀座,銀座,中央区銀座４－３－６Ｇ４ＢＲＩＣＫＳＢＬＤ．４Ｆ,,●,●,,美容院・サロン
1170,ヒルズカフェ銀座店,銀座,中央区銀座４－３－７スバルビル２Ｆ,●,●,●,●,グルメ
1171,ネイルクイック銀座店,銀座,中央区銀座４-３-７華菱ビル３Ｆ,●,●,,,美容院・サロン
1172,銀座魚勝,銀座,中央区銀座４-３-７銀座スバルビル２Ｆ,●,,,●,グルメ
1173,ＨＩＬＬＳ　ＣＡＦＥ　Ｐｒｏｄｕｃｅｄ　ｂｙ　ＧＲＡＮＤＥ,銀座,中央区銀座４－３－７銀座スバルビル２Ｆ,●,●,,●,グルメ
1174,銀座　木邑　和食と木のぬくもり,銀座,中央区銀座４-３-７銀座スバルビル３Ｆ,,,,●,グルメ
1175,まつげエクステ＆ネイル アイエスト銀座店,銀座,中央区銀座４－３－７銀座猿谷ビル３Ｆ,●,,●,,美容院・サロン
1176,銀座デンタルホワイト銀座院,銀座,中央区銀座４－３－９クイ－ンズハウス６Ｆ・７Ｆ,,,●,●,病院・クリニック
1177,東京ビューティークリニック銀座,銀座,中央区銀座４－３－９クイ－ンズハウス８Ｆ,,,,●,病院・クリニック
1178,M.TANIGUCHI GINZA,銀座,中央区銀座４－３－９クィ－ンハウス５Ｆ,,,●,,美容院・サロン
1179,ビームス銀座,銀座,中央区銀座４－４－１,,,●,●,ショッピング
1180,ティアラ銀座店,銀座,中央区銀座４－４－１,●,,●,,ショッピング
1181,銀座青果堂,銀座,中央区銀座４－４－１銀座Ａビル１Ｆ,,,●,,ショッピング
1182,PLAYGROUNDGINZA,銀座,中央区銀座４－４－１八光ビルＢ２Ｆ,,,●,,エンタメ
1183,JS　LUXE　銀座店,銀座,中央区銀座４－４－３,●,●,●,,ショッピング
1184,Lisee GINZA TOKYO,銀座,中央区銀座４－４－３銀座ビル４Ｆ・５Ｆ,,,●,,美容院・サロン
1185,銀座十字屋ハープ＆フルートサロン,銀座,中央区銀座４－４－５銀座ハタビル５Ｆ,,●,,,ショッピング
1186,Ｌａｐｉｓ銀座ｂｌｕｅ,銀座,中央区銀座４－４－８・浜一和光ビル９Ｆ,,,,●,美容院・サロン
1187,Y’S BARBER GINZA LOUNGE,銀座,中央区銀座４－４－８浜一和光ビル９Ｆ,●,●,●,●,美容院・サロン
1188,バイブルハウス南青山,銀座,中央区銀座４－５－１,●,●,,,その他
1189,銀座旅行協会,銀座,中央区銀座４－５－１聖書館ビル３Ｆ,,,●,,エンタメ
1190,ブラデリスニューヨーク 銀座サロン店,銀座,中央区銀座４－５－１聖書館ビル６Ｆ（教文館内）,,●,●,●,ショッピング
1191,ARES45,銀座,中央区銀座４－５－１聖書館ビル８０２,,,●,,ドラッグストア・薬局
1192,Ａｒｂｒｅ　Ｖｉｒａｇｅ,銀座,中央区銀座４－５－７,●,●,,,グルメ
1193,ガラ OKACHIMACHI銀座店,銀座,中央区銀座４－６－１０ゑり円ビル５Ｆ,,●,●,,ショッピング
1194,安藤七宝店東京支店,銀座,中央区銀座４－６－１１,,,●,,ショッピング
1195,リリーラピスラズリ,銀座,中央区銀座４－６－１７銀座シルクビル６Ｆ,,,,●,ファッション
1196,銀座夜市中央通り店,銀座,中央区銀座４－６－１８,●,●,●,,グルメ
1197,GINZA CRAFT MASTERS,銀座,中央区銀座４－６－１８銀座アクトビル６Ｆ,,,●,,グルメ
1198,個室×ローストチキン 東京ハイボール 銀座店,銀座,中央区銀座４－６－１８銀座アクトビル６Ｆ,,,●,,グルメ
1199,おもてなし 旬魚 踊る魚チーズタッカルビ×個室バル　カンザス,銀座,中央区銀座４－６－１８銀座アクトビル６Ｆ,,,●,,グルメ
1200,銀座鉄板焼き　肉一凛宮,銀座,中央区銀座４－６－１８銀座アクトビル７Ｆ,,,●,,グルメ
1201,マリアージュフレール銀座松屋通り,銀座,中央区銀座４－６－１銀座三和ビル２Ｆ,,●,,,その他
1202,ヨーロッパ輸入洋食器マリアアマリア,銀座,中央区銀座４－６－１銀座三和ビル４Ｆ,●,●,,,その他
1203,銀座カーヴ・フジキ,銀座,中央区銀座４－７－１２,,,●,,ショッピング
1204,バーバー・ヤナギ,銀座,中央区銀座４－８－１,●,●,,●,美容院・サロン
1205,ＲＩＴＡＧＩＮＺＡ,銀座,中央区銀座４-８-１１善隣ビル,●,,,●,美容院・サロン
1206,ＣＨＡＲＭ＋銀座店,銀座,中央区銀座４-８-１１善隣ビル６Ｆ,●,,,●,美容院・サロン
1207,インド料理ムンバイ銀座店,銀座,中央区銀座４－８－１１善隣ビルＢ１Ｆ,,,●,,グルメ
1208,魚真銀座店,銀座,中央区銀座４－８－１２－Ｂ１Ｆ,,,●,,グルメ
1209,焼やちょいちょい,銀座,中央区銀座４－８－１３銀座蟹睦会館ビル２Ｆ,,,●,,グルメ
1210,カラダラボ,銀座,中央区銀座４－８－１３銀座蟹睦会館ビル４０２,,,,●,病院・クリニック
1211,バーバーヤナギ,銀座,中央区銀座４－８－１穂月ビルＢ１Ｆ,●,●,●,●,美容院・サロン
1212,Esthe Pro Labo GINZA,銀座,中央区銀座４－８－２三福ビル１Ｆ,,,●,,ショッピング
1213,BRIGHT FOR MEN,銀座,中央区銀座４－８－２三福ビル６Ｆ,,,●,,ショッピング
1214,HAPPY FOOT銀座4丁目店,銀座,中央区銀座４－８－２三福ビル７Ｆ,,,●,,美容院・サロン
1215,博多華味鳥銀座四丁目店,銀座,中央区銀座４-９-１３銀座４-タワ-Ｂ１Ｆ,,,,●,グルメ
1216,銀座岩盤温浴　暖,銀座,中央区銀座４－９－１５－３Ｆ,,●,,,エンタメ
1217,Hinata 銀座日向,銀座,中央区銀座４－９－１５銀座吉岡屋ビルＢ１Ｆ,,,●,,グルメ
1218,香十　本店,銀座,中央区銀座４－９－１Ｂ１Ｆ,●,●,●,●,ショッピング
1219,ソラリア西鉄ホテル銀座,銀座,中央区銀座４－９－２,,●,●,,ホテル・旅館
